text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:49:27,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:49:04,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:46:55,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:46:28,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:45:26,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:44:46,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @JoshTheFiend: Err not exactly, Alfie Allen as Theon Greyjoy, then as Reek, then as reek-theon, then as Theon Stark. Best performance ev…",05/13/2019,Theo Greyjoy,Pos,0.225,0.3833333333333333,05/13/2019 18:44:07,rt joshthefiend err not exactly alfie allen a theon greyjoy then a reek then a reek theon then a theon stark best performance ev
"You guys actually thought the same show that featured the graphic torture of Theon Greyjoy, not to mention the Red… https://t.co/rcOkhu4OUl",05/13/2019,Theo Greyjoy,Neu,0.0,0.20833333333333334,05/13/2019 18:43:00,you guy actually thought the same show that featured the graphic torture of theon greyjoy not to mention the red http co rcokhu4oul
Everytime Theon Greyjoy comes on my screen i get all emotional 😭,05/13/2019,Theo Greyjoy,Neu,0.0,0.65,05/13/2019 18:42:53,everytime theon greyjoy come on my screen get all emotional
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 18:41:16,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
